pmid,Title,node-A,normalized_node_A,edge,normalized_edge,node-B,normalized_node_B,Context,normalized_Context
37735974.0,NRF1 mitigates motor dysfunction and dopamine neuron degeneration in mice with Parkinson's disease by promoting GLRX m6A methylation through upregulation of METTL3 transcription,NRF1,NRF1,mitigate,INHIBITS,motor dysfunction,motor dysfunction,mice with Parkinson's disease,Parkinson Disease
37735974.0,NRF1 mitigates motor dysfunction and dopamine neuron degeneration in mice with Parkinson's disease by promoting GLRX m6A methylation through upregulation of METTL3 transcription,NRF1,NRF1,mitigate,INHIBITS,dopamine neuron degeneration,dopamine neuron degeneration,mice with Parkinson's disease,Parkinson Disease
37735974.0,NRF1 mitigates motor dysfunction and dopamine neuron degeneration in mice with Parkinson's disease by promoting GLRX m6A methylation through upregulation of METTL3 transcription,NRF1,NRF1,upregulate,STIMULATES,METTL3 transcription,METTL3,mice with Parkinson's disease,Parkinson Disease
37735974.0,NRF1 mitigates motor dysfunction and dopamine neuron degeneration in mice with Parkinson's disease by promoting GLRX m6A methylation through upregulation of METTL3 transcription,METTL3 transcription,METTL3,promote,STIMULATES,GLRX m6A methylation,GLRX m6A methylation,mice with Parkinson's disease,Parkinson Disease
37735974.0,NRF1 mitigates motor dysfunction and dopamine neuron degeneration in mice with Parkinson's disease by promoting GLRX m6A methylation through upregulation of METTL3 transcription,GLRX m6A methylation,GLRX m6A methylation,mitigate,INHIBITS,motor dysfunction,motor dysfunction,mice with Parkinson's disease,Parkinson Disease
37735974.0,NRF1 mitigates motor dysfunction and dopamine neuron degeneration in mice with Parkinson's disease by promoting GLRX m6A methylation through upregulation of METTL3 transcription,GLRX m6A methylation,GLRX m6A methylation,mitigate,INHIBITS,dopamine neuron degeneration,dopamine neuron degeneration,mice with Parkinson's disease,Parkinson Disease
,,,,,,,,,
37742191.0,ALKBH5 modulates hematopoietic stem and progenitor cell energy metabolism through m6A modification-mediated RNA stability control,ALKBH5  ,ALKBH5,modulate,AFFECTS,energy metabolism,Energy Metabolism,hematopoietic stem and progenitor cell,hematopoietic stem and progenitor cell
37742191.0,ALKBH5 modulates hematopoietic stem and progenitor cell energy metabolism through m6A modification-mediated RNA stability control,ALKBH5  ,ALKBH5,regulate,AFFECTS,m6A,m6A,hematopoietic stem and progenitor cell,hematopoietic stem and progenitor cell
37742191.0,ALKBH5 modulates hematopoietic stem and progenitor cell energy metabolism through m6A modification-mediated RNA stability control,m6A,m6A,mediate,AFFECTS,RNA stability control,RNA stability control,hematopoietic stem and progenitor cell,hematopoietic stem and progenitor cell
37742191.0,ALKBH5 modulates hematopoietic stem and progenitor cell energy metabolism through m6A modification-mediated RNA stability control,RNA stability control,RNA stability control,regulate,AFFECTS,energy metabolism,Energy Metabolism,hematopoietic stem and progenitor cell,hematopoietic stem and progenitor cell
,,,,,,,,,
37658049.0,IGF2BP3 promotes the progression of colorectal cancer and mediates cetuximab resistance by stabilizing EGFR mRNA in an m6A-dependent manner,IGF2BP3,IGF2BP3,promote,STIMULATES,progression,progression,colorectal cancer,COAD(Colon Adenocarcinoma)
37658049.0,IGF2BP3 promotes the progression of colorectal cancer and mediates cetuximab resistance by stabilizing EGFR mRNA in an m6A-dependent manner,IGF2BP3,IGF2BP3,mediate,AFFECTS,cetuximab resistance,Cetuximab Resistance,colorectal cancer,COAD(Colon Adenocarcinoma)
37658049.0,IGF2BP3 promotes the progression of colorectal cancer and mediates cetuximab resistance by stabilizing EGFR mRNA in an m6A-dependent manner,IGF2BP3,IGF2BP3,regulate,AFFECTS,m6A,m6A,colorectal cancer,COAD(Colon Adenocarcinoma)
37658049.0,IGF2BP3 promotes the progression of colorectal cancer and mediates cetuximab resistance by stabilizing EGFR mRNA in an m6A-dependent manner,m6A,m6A,stabilize,MAINTAINS,EGFR,EGFR,colorectal cancer,COAD(Colon Adenocarcinoma)
37658049.0,IGF2BP3 promotes the progression of colorectal cancer and mediates cetuximab resistance by stabilizing EGFR mRNA in an m6A-dependent manner,EGFR,EGFR,stabilize,MAINTAINS,progression,progression,colorectal cancer,COAD(Colon Adenocarcinoma)
37658049.0,IGF2BP3 promotes the progression of colorectal cancer and mediates cetuximab resistance by stabilizing EGFR mRNA in an m6A-dependent manner,EGFR,EGFR,stabilize,MAINTAINS,cetuximab resistance,Cetuximab Resistance,colorectal cancer,COAD(Colon Adenocarcinoma)
,,,,,,,,,
37803021.0,YTHDF2 facilitates aggresome formation via UPF1 in an m6A-independent manner,YTHDF2,YTHDF2,facilitate,AUGMENTS,aggresome formation,aggresome formation,Null,Null
37803021.0,YTHDF2 facilitates aggresome formation via UPF1 in an m6A-independent manner,YTHDF2,YTHDF2,bind,INTERACTS_WITH,m6A,m6A,Null,Null
37803021.0,YTHDF2 facilitates aggresome formation via UPF1 in an m6A-independent manner,m6A,m6A,regulate,AFFECTS,UPF1,UPF1,Null,Null
37803021.0,YTHDF2 facilitates aggresome formation via UPF1 in an m6A-independent manner,UPF1,UPF1,facilitate,AUGMENTS,aggresome formation,aggresome formation,Null,Null
,,,,,,,,,
37663284.0,RNA N6-methyladenosine reader IGF2BP3 promotes acute myeloid leukemia progression by controlling stabilization of EPOR mRNA.,IGF2BP3,IGF2BP3,promote,STIMULATES,progression,progression,acute myeloid leukemia,LAML(Acute Myeloid Leukemia)
37663284.0,RNA N6-methyladenosine reader IGF2BP3 promotes acute myeloid leukemia progression by controlling stabilization of EPOR mRNA.,IGF2BP3,IGF2BP3,control stabilization of,control stabilization of,EPOR mRNA,EPOR,acute myeloid leukemia,LAML(Acute Myeloid Leukemia)
37663284.0,RNA N6-methyladenosine reader IGF2BP3 promotes acute myeloid leukemia progression by controlling stabilization of EPOR mRNA.,EPOR mRNA,EPOR,promote,STIMULATES,progression,progression,acute myeloid leukemia,LAML(Acute Myeloid Leukemia)
,,,,,,,,,
37809459.0,The m6A reader YTHDC1-mediated lncRNA CTBP1-AS2 m6A modification accelerates cholangiocarcinoma progression.,YTHDC1,YTHDC1,bind,INTERACTS_WITH,m6A,m6A,cholangiocarcinoma,CHOL(Cholangiocarcinoma)
37809459.0,The m6A reader YTHDC1-mediated lncRNA CTBP1-AS2 m6A modification accelerates cholangiocarcinoma progression.,CTBP1-AS2,CTBP1-DT,mediate,AFFECTS,m6A,m6A,cholangiocarcinoma,CHOL(Cholangiocarcinoma)
37809459.0,The m6A reader YTHDC1-mediated lncRNA CTBP1-AS2 m6A modification accelerates cholangiocarcinoma progression.,m6A,m6A,accelerate,STIMULATES,progression,progression,cholangiocarcinoma,CHOL(Cholangiocarcinoma)
,,,,,,,,,
37812443.0,YTHDF2 promotes DNA damage repair by positively regulating the histone methyltransferase SETDB1 in spermatogonia.,YTHDF2,YTHDF2,promote,STIMULATES,DNA damage repair,DNA Damage Repair,spermatogonia,Spermatogonia
37812443.0,YTHDF2 promotes DNA damage repair by positively regulating the histone methyltransferase SETDB1 in spermatogonia.,YTHDF2,YTHDF2,positively regulate,STIMULATES,SETDB1,SETDB1,spermatogonia,Spermatogonia
37812443.0,YTHDF2 promotes DNA damage repair by positively regulating the histone methyltransferase SETDB1 in spermatogonia.,SETDB1,SETDB1,promote,STIMULATES,DNA damage repair,DNA Damage Repair,spermatogonia,Spermatogonia
,,,,,,,,,
37692484.0,The m6A regulator KIAA1429 stabilizes RAB27B mRNA and promotes the progression of chronic myeloid leukemia and resistance to targeted therapy,KIAA1429,VIRMA,stabilize,MAINTAINS,RAB27B,RAB27B,chronic myeloid leukemia,LAML(Acute Myeloid Leukemia)
37692484.0,The m6A regulator KIAA1429 stabilizes RAB27B mRNA and promotes the progression of chronic myeloid leukemia and resistance to targeted therapy,KIAA1429,VIRMA,promote,STIMULATES,progression,progression,chronic myeloid leukemia,LAML(Acute Myeloid Leukemia)
37692484.0,The m6A regulator KIAA1429 stabilizes RAB27B mRNA and promotes the progression of chronic myeloid leukemia and resistance to targeted therapy,KIAA1429,VIRMA,promote resistance to,PREVENTS,targeted therapy,targeted therapy,chronic myeloid leukemia,LAML(Acute Myeloid Leukemia)
,,,,,,,,,
37694982.0,N6-methyladenosine-induced METTL1 promotes tumor proliferation via CDK4.,N6-methyladenosine,m6A,induce,CAUSES,METTL1,METTL1,Null,Null
37694982.0,N6-methyladenosine-induced METTL1 promotes tumor proliferation via CDK4.,METTL1,METTL1,promote,STIMULATES,tumor proliferation,Tumor Proliferation,Null,Null
37694982.0,N6-methyladenosine-induced METTL1 promotes tumor proliferation via CDK4.,METTL1,METTL1,regulate,AFFECTS,CDK4,CDK4,Null,Null
37694982.0,N6-methyladenosine-induced METTL1 promotes tumor proliferation via CDK4.,CDK4,CDK4,promote,STIMULATES,tumor proliferation,Tumor Proliferation,Null,Null
,,,,,,,,,
37700438.0,YTHDF2 promotes gallbladder cancer progression and gemcitabine resistance via m6A-dependent DAPK3 degradation,YTHDF2,YTHDF2,promote,STIMULATES,progression,progression,gallbladder cancer ,CHOL(Cholangiocarcinoma)
37700438.0,YTHDF2 promotes gallbladder cancer progression and gemcitabine resistance via m6A-dependent DAPK3 degradation,YTHDF2,YTHDF2,promote,STIMULATES,gemcitabine resistance,Gemcitabine Resistance,gallbladder cancer ,CHOL(Cholangiocarcinoma)
37700438.0,YTHDF2 promotes gallbladder cancer progression and gemcitabine resistance via m6A-dependent DAPK3 degradation,YTHDF2,YTHDF2,bind,INTERACTS_WITH, m6A,m6A,gallbladder cancer ,CHOL(Cholangiocarcinoma)
37700438.0,YTHDF2 promotes gallbladder cancer progression and gemcitabine resistance via m6A-dependent DAPK3 degradation,m6A,m6A,regulate,AFFECTS,DAPK3 degradation,DAPK3 degradation,gallbladder cancer ,CHOL(Cholangiocarcinoma)
37700438.0,YTHDF2 promotes gallbladder cancer progression and gemcitabine resistance via m6A-dependent DAPK3 degradation,DAPK3 degradation,DAPK3 degradation,promote,STIMULATES,progression,progression,gallbladder cancer ,CHOL(Cholangiocarcinoma)
