"","pmid","title"
"29","37809459","The m6A reader YTHDC1-mediated lncRNA CTBP1-AS2 m6A modification accelerates cholangiocarcinoma progression."
"63","37724835","METTL3 Regulates the m6A Modification of NEK7 to Inhibit the Formation of Osteoarthritis"
"80","37588656","Alkbh5 plays indispensable roles in maintaining self-renewal of hematopoietic stem cells."
"103","37602313","RNA N6-methyladenosine methyltransferase WTAP promotes the differentiation of endothelial progenitor cells"
"116","37605570","METTL3-modified lncRNA-MALAT1 regulates the molecular axis of miR-124-3p/CDK4 involved in Ewing's sarcoma"
"146","34132367","METTL3-mediated m6A modification of Bcl-2 mRNA promotes non-small cell lung cancer progression."
"150","33676554","METTL3-mediated m6A mRNA modification of FBXW7 suppresses lung adenocarcinoma."
"254","34458141","m6A Methyltransferase METTL14-Mediated Upregulation of Cytidine Deaminase Promoting Gemcitabine Resistance in Pancreatic Cancer."
"262","32655129","HDAC3-dependent transcriptional repression of FOXA2 regulates FTO/m6A/MYC signaling to contribute to the development of gastric cancer."
"287","33846348","Autophagy of the m6A mRNA demethylase FTO is impaired by low-level arsenic exposure to promote tumorigenesis."
"290","33515893","Triclosan-induced abnormal expression of miR-30b regulates fto-mediated m6A methylation level to cause lipid metabolism disorder in zebrafish."
"319","31582403","METTL3-mediated m6A modification of HDGF mRNA promotes gastric cancer progression and has prognostic significance."
"347","34537760","METTL3-mediated m6A modification of KIF3C-mRNA promotes prostate cancer progression and is negatively regulated by miR-320d."
"404","34016959","Suppression of m6A mRNA modification by DNA hypermethylated ALKBH5 aggravates the oncological behavior of KRAS mutation/LKB1 loss lung cancer."
"451","33459381","m6A deposition is regulated by PRMT1-mediated arginine methylation of METTL14 in its disordered C-terminal region."
"455","34505967","METTL3-Mediated lncRNA m6A Modification in the Osteogenic Differentiation of Human Adipose-Derived Stem Cells Induced by NEL-Like 1 Protein."
"466","33596916","Targeting SNHG3/miR-186-5p reverses the increased m6A level caused by platinum treatment through regulating METTL3 in esophageal cancer."
"528","33882457","Methylation of microRNA-338-5p by EED promotes METTL3-mediated translation of oncogene CDCP1 in gastric cancer."
"604","32552762","METTL14-mediated N6-methyladenosine modification of SOX4 mRNA inhibits tumor metastasis in colorectal cancer."
"642","31767846","m6A in mRNA coding regions promotes translation via the RNA helicase-containing YTHDC2."
"645","34098071","KAT1 triggers YTHDF2-mediated ITGB1 mRNA instability to alleviate the progression of diabetic retinopathy."
"681","33590832","METTL3-mediated m6A methylation negatively modulates autophagy to support porcine blastocyst development."
"710","33910046","Tumors exploit FTO-mediated regulation of glycolytic metabolism to evade immune surveillance."
"718","33648590","METTL3-mediated m6A modification regulates cell cycle progression of dental pulp stem cells."
"809","32064749","YTHDF1-mediated translation amplifies Wnt-driven intestinal stemness."
"812","30875984","m6A Reader YTHDF2 Regulates LPS-Induced Inflammatory Response."
"815","32267835","YTHDF2 promotes mitotic entry and is regulated by cell cycle mediators."
"831","31564433","Bi-allelic Variants in METTL5 Cause Autosomal-Recessive Intellectual Disability and Microcephaly."
"835","34544449","RNA m6A demethylase FTO-mediated epigenetic up-regulation of LINC00022 promotes tumorigenesis in esophageal squamous cell carcinoma."
"845","28247949","NSUN2-Mediated m5C Methylation and METTL3/METTL14-Mediated m6A Methylation Cooperatively Enhance p21 Translation."
"856","29997116","FTO-Dependent N6-Methyladenosine Regulates Cardiac Function During Remodeling and Repair."
"859","31642031","Binding to m6A RNA promotes YTHDF2-mediated phase separation."
"869","29982692","m6A Demethylase FTO Regulates Dopaminergic Neurotransmission Deficits Caused by Arsenite."
"872","33761320","RNA demethylation by FTO stabilizes the FOXJ1 mRNA for proper motile ciliogenesis."
"875","33932138","METTL3 mediates bone marrow mesenchymal stem cell adipogenesis to promote chemoresistance in acute myeloid leukemia."
"970","33428593","ALKBH5-mediated m6A demethylation of FOXM1 mRNA promotes progression of uveal melanoma."
"994","33125861","YTHDF3 Induces the Translation of m6A-Enriched Gene Transcripts to Promote Breast Cancer Brain Metastasis."
"1214","33548009","FTO overexpression inhibits apoptosis of hypoxia/reoxygenation-treated myocardial cells by regulating m6A modification of Mhrt."
"1247","32169943","YTHDF2 destabilizes m6A-modified neural-specific RNAs to restrain differentiation in induced pluripotent stem cells."
"1330","37619934","Intracellular Fusobacterium nucleatum infection increases METTL3-mediated m6A methylation to promote the metastasis of esophageal squamous cell carcinoma"
"1363","32426101","N6-methyladenosine demethylases Alkbh5/Fto regulate cerebral ischemia-reperfusion injury."
"1369","33412003","m6A-RNA Demethylase FTO Inhibitors Impair Self-Renewal in Glioblastoma Stem Cells."
