"","pmid","title","nodeA","edge","nodeB","context","nodeA_normalized","edge_normalized","nodeB_normalized","context_normalized"
"29","37809459","The m6A reader YTHDC1-mediated lncRNA CTBP1-AS2 m6A modification accelerates cholangiocarcinoma progression.","YTHDC1","bind","m6A","cholangiocarcinoma","YTHDC1","INTERACTS_WITH","m6A","CHOL(Cholangiocarcinoma)"
"30","37809459","The m6A reader YTHDC1-mediated lncRNA CTBP1-AS2 m6A modification accelerates cholangiocarcinoma progression.","CTBP1-AS2","mediate","m6A","cholangiocarcinoma","CTBP1-DT","AFFECTS","m6A","CHOL(Cholangiocarcinoma)"
"31","37809459","The m6A reader YTHDC1-mediated lncRNA CTBP1-AS2 m6A modification accelerates cholangiocarcinoma progression.","m6A","accelerate","progression","cholangiocarcinoma","m6A","STIMULATES","progression","CHOL(Cholangiocarcinoma)"
"63","37724835","METTL3 Regulates the m6A Modification of NEK7 to Inhibit the Formation of Osteoarthritis","METTL3","regulate","m6A","Osteoarthritis","METTL3","AFFECTS","m6A","Osteoarthritis"
"64","37724835","METTL3 Regulates the m6A Modification of NEK7 to Inhibit the Formation of Osteoarthritis","m6A","is on","NEK7","Osteoarthritis","m6A","LOCATES","NEK7","Osteoarthritis"
"65","37724835","METTL3 Regulates the m6A Modification of NEK7 to Inhibit the Formation of Osteoarthritis","NEK7","Inhibit","formation","Osteoarthritis","NEK7","INHIBITS","formation","Osteoarthritis"
"80","37588656","Alkbh5 plays indispensable roles in maintaining self-renewal of hematopoietic stem cells.","Alkbh5","maintain","self-renewal","hematopoietic stem cells","ALKBH5","MAINTAINS","Self-Renewal","Hematopoietic Stem Cells"
"103","37602313","RNA N6-methyladenosine methyltransferase WTAP promotes the differentiation of endothelial progenitor cells","WTAP","promote","differentiation","endothelial progenitor cells","WTAP","STIMULATES","cell differentiation","Endothelial Progenitor Cells"
"116","37605570","METTL3-modified lncRNA-MALAT1 regulates the molecular axis of miR-124-3p/CDK4 involved in Ewing's sarcoma","METTL3","modify","lncRNA-MALAT1","Ewing's sarcoma","METTL3","AFFECTS","MALAT1","SARC(Sarcoma)"
"117","37605570","METTL3-modified lncRNA-MALAT1 regulates the molecular axis of miR-124-3p/CDK4 involved in Ewing's sarcoma","lncRNA-MALAT1","regulate the molecular axis of","miR-124-3p/CDK4","Ewing's sarcoma","MALAT1","AFFECTS","miR-124-3p/CDK4","SARC(Sarcoma)"
"146","34132367","METTL3-mediated m6A modification of Bcl-2 mRNA promotes non-small cell lung cancer progression.","METTL3","mediate","m6A","non-small cell lung cancer","METTL3","AFFECTS","m6A","LUAD (Lung Adenocarcinoma) or LUSC(Lung Squamous Cell Carcinoma)"
"147","34132367","METTL3-mediated m6A modification of Bcl-2 mRNA promotes non-small cell lung cancer progression.","m6A","is on","Bcl-2","non-small cell lung cancer","m6A","LOCATES","BCL2","LUAD (Lung Adenocarcinoma) or LUSC(Lung Squamous Cell Carcinoma)"
"148","34132367","METTL3-mediated m6A modification of Bcl-2 mRNA promotes non-small cell lung cancer progression.","Bcl-2","promote","progression","non-small cell lung cancer","BCL2","STIMULATES","progression","LUAD (Lung Adenocarcinoma) or LUSC(Lung Squamous Cell Carcinoma)"
"150","33676554","METTL3-mediated m6A mRNA modification of FBXW7 suppresses lung adenocarcinoma.","METTL3","mediate","m6A","lung adenocarcinoma","METTL3","AFFECTS","m6A","LUAD(Lung Adenocarcinoma)"
"151","33676554","METTL3-mediated m6A mRNA modification of FBXW7 suppresses lung adenocarcinoma.","m6A","is on","FBXW7","lung adenocarcinoma","m6A","LOCATES","FBXW7","LUAD(Lung Adenocarcinoma)"
"152","33676554","METTL3-mediated m6A mRNA modification of FBXW7 suppresses lung adenocarcinoma.","FBXW7","suppress","lung adenocarcinoma","lung adenocarcinoma","FBXW7","INHIBITS","lung adenocarcinoma","LUAD(Lung Adenocarcinoma)"
"254","34458141","m6A Methyltransferase METTL14-Mediated Upregulation of Cytidine Deaminase Promoting Gemcitabine Resistance in Pancreatic Cancer.","METTL14","upregulate","Cytidine Deaminase","Pancreatic Cancer","METTL14","STIMULATES","Cytidine Deaminase","PAAD(Pancreatic Adenocarcinoma)"
"255","34458141","m6A Methyltransferase METTL14-Mediated Upregulation of Cytidine Deaminase Promoting Gemcitabine Resistance in Pancreatic Cancer.","Cytidine Deaminase","promote","Gemcitabine Resistance","Pancreatic Cancer","Cytidine Deaminase","STIMULATES","Gemcitabine Resistance","PAAD(Pancreatic Adenocarcinoma)"
"262","32655129","HDAC3-dependent transcriptional repression of FOXA2 regulates FTO/m6A/MYC signaling to contribute to the development of gastric cancer.","HDAC3","regulate","FOXA2","Gastric Cancer","HDAC3","AFFECTS","FOXA2","STAD(Stomach adenocarcinoma)"
"263","32655129","HDAC3-dependent transcriptional repression of FOXA2 regulates FTO/m6A/MYC signaling to contribute to the development of gastric cancer.","FOXA2","regulate","FTO/m6A/MYC signaling","Gastric Cancer","FOXA2","AFFECTS","FTO/m6A/MYC signaling pathway","STAD(Stomach adenocarcinoma)"
"264","32655129","HDAC3-dependent transcriptional repression of FOXA2 regulates FTO/m6A/MYC signaling to contribute to the development of gastric cancer.","FTO/m6A/MYC signaling","contribute","Development","Gastric Cancer","FTO/m6A/MYC signaling pathway","AFFECTS","development","STAD(Stomach adenocarcinoma)"
"287","33846348","Autophagy of the m6A mRNA demethylase FTO is impaired by low-level arsenic exposure to promote tumorigenesis.","Low-level arsenic exposure","impair autophagy of","FTO","Null","Low-level arsenic exposure","DISRUPTS","FTO","Null"
"288","33846348","Autophagy of the m6A mRNA demethylase FTO is impaired by low-level arsenic exposure to promote tumorigenesis.","FTO","promote","Tumorigenesis","Null","FTO","STIMULATES","Carcinogenesis","Null"
"290","33515893","Triclosan-induced abnormal expression of miR-30b regulates fto-mediated m6A methylation level to cause lipid metabolism disorder in zebrafish.","Triclosan","induce the abnormal expression of","miR-30b","zebrafish","triclosan","DISRUPTS","MIR30B","Zebrafish"
"291","33515893","Triclosan-induced abnormal expression of miR-30b regulates fto-mediated m6A methylation level to cause lipid metabolism disorder in zebrafish.","miR-30b","regulate","FTO","zebrafish","MIR30B","AFFECTS","FTO","Zebrafish"
"292","33515893","Triclosan-induced abnormal expression of miR-30b regulates fto-mediated m6A methylation level to cause lipid metabolism disorder in zebrafish.","FTO","mediate","m6A","zebrafish","FTO","AFFECTS","m6A","Zebrafish"
"293","33515893","Triclosan-induced abnormal expression of miR-30b regulates fto-mediated m6A methylation level to cause lipid metabolism disorder in zebrafish.","m6A","cause","lipid metabolism disorder","zebrafish","m6A","CAUSES","Lipid Metabolism Disorders","Zebrafish"
"319","31582403","METTL3-mediated m6A modification of HDGF mRNA promotes gastric cancer progression and has prognostic significance.","METTL3","mediate","m6A","Gastric Cancer","METTL3","AFFECTS","m6A","STAD(Stomach adenocarcinoma)"
"320","31582403","METTL3-mediated m6A modification of HDGF mRNA promotes gastric cancer progression and has prognostic significance.","m6A","is on","HDGF","Gastric Cancer","m6A","LOCATES","HDGF","STAD(Stomach adenocarcinoma)"
"321","31582403","METTL3-mediated m6A modification of HDGF mRNA promotes gastric cancer progression and has prognostic significance.","HDGF","promote","Progression","Gastric Cancer","HDGF","STIMULATES","progression","STAD(Stomach adenocarcinoma)"
"347","34537760","METTL3-mediated m6A modification of KIF3C-mRNA promotes prostate cancer progression and is negatively regulated by miR-320d.","METTL3","mediate","m6A","Prostate Cancer","METTL3","AFFECTS","m6A","PRAD(Prostate Adenocarcinoma)"
"348","34537760","METTL3-mediated m6A modification of KIF3C-mRNA promotes prostate cancer progression and is negatively regulated by miR-320d.","m6A","is on","KIF3C-mRNA","Prostate Cancer","m6A","LOCATES","KIF3C-mRNA","PRAD(Prostate Adenocarcinoma)"
"349","34537760","METTL3-mediated m6A modification of KIF3C-mRNA promotes prostate cancer progression and is negatively regulated by miR-320d.","miR-320d","downregulate","KIF3C-mRNA","Prostate Cancer","miR-320d","INHIBITS","KIF3C-mRNA","PRAD(Prostate Adenocarcinoma)"
"350","34537760","METTL3-mediated m6A modification of KIF3C-mRNA promotes prostate cancer progression and is negatively regulated by miR-320d.","KIF3C-mRNA","promote","Progression","Prostate Cancer","KIF3C","STIMULATES","progression","PRAD(Prostate Adenocarcinoma)"
